"id","lat","long","station"
"1",47.213551,-123.100807,"Shelton-W Franklin"
"2",47.029301,-122.821503,"Lacey-College St"
"3",48.129101,-122.7789,"Port Townsend-San Juan"
"4",47.592675,-122.627397,"Bremerton-Spruce Ave"
"5",47.22634,-122.46256,"Tacoma-S 36th St"
"6",47.1864,-122.4517,"Tacoma-L St"
"7",47.2656,-122.3858,"Tacoma-Alexander Ave"
"8",47.559975,-122.338265,"Seattle-Duwamish"
"9",47.5297,-122.3203,"Seattle-South Park"
"10",47.597222,-122.319722,"Seattle-10th & Weller"
"11",47.568236,-122.308628,"Seattle-Beacon Hill"
"12",48.065339,-122.285194,"Tulalip-Totem Beach Rd"
"13",47.498535,-122.278385,"Tukwila_Allentown"
"14",47.753633,-122.277192,"Lake Forest Park-Town Center"
"15",47.89371,-122.26982,"Everett-Beverly Park Rd"
"16",47.2814,-122.2233,"Auburn 29th St"
"17",48.054315,-122.171529,"Marysville-7th Ave"
"18",47.600863,-122.148397,"Bellevue-SE 12th"
"19",47.4902,-121.772697,"North Bend-North Bend Way (SO)"
